id,source,name,category,price,url
fc51c4d2-571d-1a9b-2317-331204ef7283,shopbeta,Slip-on Canvas Sneakers- Grey,Fashion,782.69,https://shopbeta.com.gh/product/slip-on-canvas-sneakers-grey/
fc745042-3f5e-1b26-15a3-c30a0d90695b,shopbeta,30 Function Silicone Vibrator,Beauty & Health,0,https://shopbeta.com.gh/product/30-functions-silicone-vibrator/
fc7dd2a9-d7b7-40dc-f44b-df02add8fc4d,shopbeta,Afforable Executive Men Double Breasted Suit (belt),Fashion,1380,https://shopbeta.com.gh/product/executive-men-double-breasted-suit-belt/
fc860582-b457-90d4-82a9-09b1fe712cd8,shopbeta,"Vera Wang Embrace Body Mist Fragrance for women Periwinkle and Iris, 240ml",Beauty & Health,241.33,https://shopbeta.com.gh/product/vera-wang-embrace-body-mist-fragrance-for-women-periwinkle-and-iris-240ml/
fc90c967-acd3-5835-af39-3999c4d72c55,shopbeta,Buy Binatone Gasoline Petrol Generator BG 6900 RD,Others,5991.83,https://shopbeta.com.gh/product/binatone-gasoline-generator-bg6900rd/
fcaa4fd4-b932-0ea8-bd64-98cb0018ff66,shopbeta,Get LG Nano Cell TV 65 Inch NANO 95 Series,Electronics,27478.99,https://shopbeta.com.gh/product/lg-nanocell-tv-65-inch-nano95-series/
fcb458f4-8d91-c083-cd02-3a49cca796b1,shopbeta,BUY NASCO 50INCH UHD 4K DIGITAL SATELLITE SMART TV NAS-H50FUS,Electronics,4889.12,https://shopbeta.com.gh/product/nasco-50-uhd-4k-digital-satellite-smart-tv-nas-h50fus/
fccb1a87-e2ce-59ac-c81d-117deaac44c6,shopbeta,Avon clearskin blackhead eliminating daily astringent liquid Acne Treatment,Beauty & Health,176.41,https://shopbeta.com.gh/product/avon-clearskin-blackhead-eliminating-daily-astringent-liquid-acne-treatment/
fccf945b-cd59-fc89-19b0-bfb4cbf98170,shopbeta,"SAGE & CITRUS Hand & Body Lotion Jar, 4 oz.",Beauty & Health,111.8,https://shopbeta.com.gh/product/sage-citrus-hand-body-lotion-jar-4-oz/
fcd9f8ac-970d-81c6-55fc-c74db45107bd,shopbeta,SAMSUNG 65″ Flat QLED 4K Smart TV (QA65Q7F),Electronics,16993.08,https://shopbeta.com.gh/product/samsung-65-flat-qled-4k-smart-tv-qa65q7f/
fce08030-7174-8b30-53be-b6f39149d06e,shopbeta,CHEAP SAMSUNG Q-LED FLAT 4K 65″ TV  QA65Q7FAMKXGH,Electronics,11999,https://shopbeta.com.gh/product/samsung-q-led-flat-4k-65%e2%80%b3-tv-qa65q7famkxgh/
fcf8afa6-cf90-9d60-7cdf-0f4b336a0dbd,shopbeta,EURARC 422,Others,0,https://shopbeta.com.gh/product/eurarc-422/
fcfdcd55-be79-dcd3-8308-5948a141b453,shopbeta,Flamingo 36 Luxury 3 ply Super Jumbo Toilet Rolls Sent Royal Mail 48hr Tracked,Beauty & Health,180,https://shopbeta.com.gh/product/flamingo-36-luxury-3-ply-super-jumbo/
fd01bfef-cad6-6b1c-c88f-91e405ef95b5,shopbeta,Digital Alcohol Breath Tester,Others,816,https://shopbeta.com.gh/product/digital-alcohol-breath-tester/
fd059925-2a09-293c-3474-5939496fb7a4,shopbeta,AIRCAST WALKER BOOT,Others,0,https://shopbeta.com.gh/product/aircast-walker-boot/
fd150e31-cb88-d522-9f86-28fd5dd5657c,shopbeta,PANASONIC 32″ LED DIGITAL SATELLITE – (TH-32G333M),Electronics,4153.94,https://shopbeta.com.gh/product/panasonic-32-led-digital-satellite-th-32g333m/
